monthly_wage_gross,monthly_wage_net,x2,x1,x3,hh_size,weight,age,lfs_working,lfs_unemployed,y,netwage,part,x0,y0,w
NA,NA,0,7,0,7,5602.02,47,0,1,0,0,FALSE,1,0,1
3600,2600,0,18,0,4,2156.95,33,1,0,3600,2600,TRUE,1,0,1
1700,1300,1,13.5,0,4,1443.63,33,1,0,1700,1300,TRUE,1,0,1
1300,1200,1,13.5,1,2,386.92999,44,1,0,1300,1200,TRUE,1,0,1
3500,2500,0,12,1,2,1703.41,49,1,0,3500,2500,TRUE,1,0,1
NA,NA,1,13,1,2,579.75,19,0,0,0,0,FALSE,1,0,1
NA,NA,1,7,0,5,7453.2402,55,0,1,0,0,FALSE,1,0,1
1100,850,1,9,1,5,7043.2402,21,1,0,1100,850,TRUE,1,0,1
NA,NA,1,10.5,1,2,103.92,57,0,1,0,0,FALSE,1,0,1
2400,1800,1,11.5,1,2,180.02,38,1,0,2400,1800,TRUE,1,0,1
2000,1400,1,10.5,1,2,833.15002,40,1,0,2000,1400,TRUE,1,0,1
3700,2300,0,13.5,1,3,535.78998,49,1,0,3700,2300,TRUE,1,0,1
850,651,1,14,1,3,409.54999,39,1,0,850,651,TRUE,1,0,1
4400,2640,1,16,1,1,1271.4,46,1,0,4400,2640,TRUE,1,0,1
NA,NA,1,10.5,0,2,1598.59,44,0,1,0,0,FALSE,1,0,1
2750,2000,0,18,1,2,1020.12,53,1,0,2750,2000,TRUE,1,0,1
NA,NA,0,13,1,2,1191.36,30,0,0,0,0,FALSE,1,0,1
1100,900,1,12,1,2,3190.6899,26,1,0,1100,900,TRUE,1,0,1
3700,2900,0,9,0,3,5483.3799,27,1,0,3700,2900,TRUE,1,0,1
NA,NA,0,7,1,1,9188.0898,63,0,0,0,0,FALSE,1,0,1
NA,NA,1,7,0,8,966.03003,36,0,0,0,0,FALSE,1,0,1
NA,NA,0,7,0,8,981.92999,47,0,1,0,0,FALSE,1,0,1
NA,NA,1,10.5,0,5,373.89001,51,0,0,0,0,FALSE,1,0,1
2000,1600,0,18,0,5,1489.1,50,1,0,2000,1600,TRUE,1,0,1
1100,900,1,18,1,5,1124.6801,25,1,0,1100,900,TRUE,1,0,1
2730,2058,1,11.5,0,3,3616.6201,41,1,0,2730,2058,TRUE,1,0,1
2800,1500,1,12,0,3,3606.0801,38,1,0,2800,1500,TRUE,1,0,1
